"1-a) sdf"
"1-a) csd"
"jojoj"
"que"
""
No entregó
No entregó
No entregó
No entregó
No entregó
"2-b) sdf"
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
"2-a) good 3-a) la mera"
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
No entregó
