23,0,0,0,0
20,0,0,0,0
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,20,0,1,0
20,20,20,20,20
5,5,5,5,5
20,15,20,18,20
20,20,20,20,20
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,15,0,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,15,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,19,0,0,0
0,0,0,0,0
20,20,20,20,20
5,8,9,14,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20,20,20,20,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15,20,0,0,0
0,0,0,0,0
0,0,0,0,0
